family,prop.sampled,sr,g,p
Orchidaceae,0.194143949228328,27732,1280.32799248742,0
Hypnaceae,0.0496228662167527,2519,924.197888073211,0
Pottiaceae,0.088040391290628,3169,749.731647574746,0
Bryaceae,0.0608654303376129,2103,679.978677900538,0
Myrtaceae,0.144221105527638,5970,664.599233184312,0
Sematophyllaceae,0.0706388206388206,1628,470.647540920071,0
Fissidentaceae,0.02203182374541,817,406.699601225011,0
Dicranaceae,0.113421550094518,2116,362.75119632303,0
Orthotrichaceae,0.0911949685534591,1272,288.411488420088,0
Acanthaceae,0.183637284701114,3948,215.282681006646,0
